,#,disambPosition,Sentence,Unnamed: 3,Unnamed: 4,Unnamed: 5,Ans,Ans.1,Type,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,disambPosition_0idx,surprisal,token,word,word_pos
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,-1,In,In,0
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,1.0986502170562744,the,the,1
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,5.267914235591888,"lobby.,","lobby,",2
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,3.126477003097534,Clyde,Clyde,3
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,13.800074577331543,bumped,bumped,4
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,3.5407681465148926,into,into,5
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,1.1997421979904175,the,the,6
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,12.692201614379883,chauffeur,chauffeur,7
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,2.8394429683685303,of,of,8
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,1.0802539587020874,the,the,9
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,1.2089439630508423,CEO,CEO,10
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,5.14061975479126,who,who,11
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,4.160768985748291,is,is,12
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,11.837128639221191,reckless,reckless,13
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,2.45817232131958,and,and,14
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,6.504614353179932,very,very,15
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,7.072978496551514,unpopular,unpopular,16
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,1.5719633102416992,with,with,17
0,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,1.0,,,,,,13,0.9713079333305359,the,the,18
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,-1,In,In,0
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,1.0986502170562744,the,the,1
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,5.267914235591888,"lobby.,","lobby,",2
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,3.126477003097534,Clyde,Clyde,3
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,13.800074577331543,bumped,bumped,4
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,3.5407681465148926,into,into,5
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,1.1997421979904175,the,the,6
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,12.692201614379883,chauffeur,chauffeur,7
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,2.8394429683685303,of,of,8
1,49,13,"In the lobby, Clyde bumped into the chauffeur of the CEOs who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby,At the company\'s offices,1.0,1.0,Non-ambig,,,1.0,,,,13,1.0802539587020874,the,the,9
