,Corresponding NP/Z item,Main clause subject number,Condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target,disambPosition_0idx,surprisal,token,word,word_pos
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,6.398444175720215,further,further,7
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,11.683025360107422,inspection,inspection,8
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,4.548810958862305,by,by,9
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,6.266363143920898,further,further,7
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,12.173018455505371,inspection,inspection,8
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,4.462785720825195,by,by,9
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,9.116707801818848,mysteriously,mysteriously,7
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,5.022186279296875,from,from,8
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,3.250659942626953,his,his,9
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,8.969375610351562,mysteriously,mysteriously,7
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,5.2168731689453125,from,from,8
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,2.707146644592285,his,his,9
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,9.436849594116211,increasingly,increasingly,7
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,5.617483139038086,uncomfortable,uncomfortable,8
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,2.8893918991088867,in,in,9
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,10.130976676940918,increasingly,increasingly,7
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,5.48124885559082,uncomfortable,uncomfortable,8
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,3.205385684967041,in,in,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,4.270153999328613,more,more,8
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,2.005268096923828,attention,attention,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,5.467824459075928,due,due,10
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,4.192024230957031,more,more,8
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,1.7494726181030273,attention,attention,9
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,5.0005974769592285,due,due,10
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,4.858448505401611,working,working,7
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,7.541698455810547,immediately,immediately,8
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.1381373405456543,to,to,9
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,5.771965980529785,working,working,7
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,6.854750633239746,immediately,immediately,8
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.248086929321289,to,to,9
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,8.69836711883545,several,several,7
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,3.5472280979156494,minutes,minutes,8
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,0.5840939879417419,to,to,9
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,7.959327220916748,several,several,7
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,3.787091016769409,minutes,minutes,8
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,0.610266387462616,to,to,9
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,7.693491458892822,dramatically,dramatically,7
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,8.39640998840332,despite,despite,8
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,0.9271420836448669,the,the,9
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,8.653240203857422,dramatically,dramatically,7
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,7.958982944488525,despite,despite,8
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,1.0678547620773315,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,6.859705924987793,essentially,essentially,8
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,2.7255654335021973,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,0.002508233767002821,same,same,10
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,6.720152854919434,essentially,essentially,8
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,2.729504346847534,the,the,9
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,0.009216384030878544,same,same,10
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,12.880825996398926,unnecessarily,unnecessarily,7
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.791794776916504,stressful,stressful,8
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.063103675842285,on,on,9
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,12.898687362670898,unnecessarily,unnecessarily,7
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,6.111464500427246,stressful,stressful,8
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.661863327026367,on,on,9
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,6.583128452301025,another,another,7
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,9.275126457214355,border,border,8
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,3.537874698638916,conflict,conflict,9
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,6.2754621505737305,another,another,7
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,9.612756729125977,border,border,8
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,3.4183883666992188,conflict,conflict,9
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,6.644595146179199,constant,constant,7
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,6.951964855194092,adjustment,adjustment,8
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,4.309281349182129,from,from,9
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,6.484208106994629,constant,constant,7
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,6.381234169006348,adjustment,adjustment,8
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,4.357978820800781,from,from,9
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,5.686598300933838,relatively,relatively,7
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,11.447869300842285,tranquil,tranquil,8
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,5.815052032470703,throughout,throughout,9
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,6.270890712738037,relatively,relatively,7
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,11.87047290802002,tranquil,tranquil,8
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,6.257527828216553,throughout,throughout,9
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,11.007142066955566,immense,immense,8
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,10.453954696655273,patience,patience,9
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,4.260677814483643,from,from,10
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,10.39291000366211,immense,immense,8
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,10.868566513061523,patience,patience,9
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,4.156737327575684,from,from,10
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,10.076661109924316,causing,causing,8
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,3.4384098052978516,problems,problems,9
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,2.3844714164733887,with,with,10
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,10.254876136779785,causing,causing,8
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,3.972294330596924,problems,problems,9
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,2.4767346382141113,with,with,10
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,4.695751667022705,working,working,7
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,7.771930694580078,independently,independently,8
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,3.240459442138672,on,on,9
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,5.6638641357421875,working,working,7
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,8.707486152648926,independently,independently,8
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,3.0937693119049072,on,on,9
