,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,token,word,word_pos,sumsurprisal,meansurprisal
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,received,received,6,10.944236755371094,10.944236755371094
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,unwelcome,unwelcome,7,14.080894470214844,14.080894470214844
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,attention,attention,8,6.93780517578125,6.93780517578125
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,received,received,7,11.49481201171875,11.49481201171875
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,unwelcome,unwelcome,8,14.606201171875,14.606201171875
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,attention,attention,9,6.939781188964844,6.939781188964844
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,received,received,6,10.662715911865234,10.662715911865234
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,unwelcome,unwelcome,7,11.527362823486328,11.527362823486328
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,attention,attention,8,6.891357421875,6.891357421875
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,disappeared,disappeared,5,13.273752212524414,13.273752212524414
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,mysteriously,mysteriously,6,13.690238952636719,13.690238952636719
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,from,from,7,3.298755645751953,3.298755645751953
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,disappeared,disappeared,6,14.776546478271484,14.776546478271484
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,mysteriously,mysteriously,7,13.129764556884766,13.129764556884766
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,from,from,8,3.2400436401367188,3.2400436401367188
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,disappeared,disappeared,5,15.083858489990234,15.083858489990234
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,mysteriously,mysteriously,6,13.640640258789062,13.640640258789062
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,after,after,7,4.055393218994141,4.055393218994141
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,stayed,stayed,5,11.241008758544922,11.241008758544922
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,surprisingly,surprisingly,6,8.802539825439453,8.802539825439453
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,happy,happy,7,7.796871185302734,7.796871185302734
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,stayed,stayed,6,14.827239990234375,14.827239990234375
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,surprisingly,surprisingly,7,9.79641342163086,9.79641342163086
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,happy,happy,8,8.061439514160156,8.061439514160156
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,stayed,stayed,5,13.447914123535156,13.447914123535156
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,surprisingly,surprisingly,6,9.548267364501953,9.548267364501953
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,happy,happy,7,8.038818359375,8.038818359375
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,appeared,appeared,6,16.739585876464844,16.739585876464844
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,increasingly,increasingly,7,10.21615982055664,10.21615982055664
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,likely,likely,8,5.526592254638672,5.526592254638672
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,appeared,appeared,7,14.130348205566406,14.130348205566406
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,increasingly,increasingly,8,9.429664611816406,9.429664611816406
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,likely,likely,9,5.5827789306640625,5.5827789306640625
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,appeared,appeared,6,17.269851684570312,17.269851684570312
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,increasingly,increasingly,7,10.860187530517578,10.860187530517578
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,likely,likely,8,5.551971435546875,5.551971435546875
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,gained,gained,5,12.196285247802734,12.196285247802734
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,more,more,6,8.301002502441406,8.301002502441406
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,attention,attention,7,7.34832763671875,7.34832763671875
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,gained,gained,6,12.024524688720703,12.024524688720703
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,more,more,7,7.094062805175781,7.094062805175781
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,attention,attention,8,7.0689697265625,7.0689697265625
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,gained,gained,5,11.948078155517578,11.948078155517578
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,more,more,6,9.663734436035156,9.663734436035156
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,attention,attention,7,6.889766693115234,6.889766693115234
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,remained,remained,5,12.247493743896484,12.247493743896484
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,essentially,essentially,6,9.443531036376953,9.443531036376953
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,the,the,7,4.07171630859375,4.07171630859375
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,remained,remained,6,13.196704864501953,13.196704864501953
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,essentially,essentially,7,7.970684051513672,7.970684051513672
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,the,the,8,3.173267364501953,3.173267364501953
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,remained,remained,5,14.015373229980469,14.015373229980469
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,essentially,essentially,6,9.339061737060547,9.339061737060547
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,the,the,7,3.4587326049804688,3.4587326049804688
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,prepared,prepared,6,9.191478729248047,9.191478729248047
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,many,many,7,10.91153335571289,10.91153335571289
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,students,students,8,6.048011779785156,6.048011779785156
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,prepared,prepared,7,10.29348373413086,10.29348373413086
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,many,many,8,11.050739288330078,11.050739288330078
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,students,students,9,6.25482177734375,6.25482177734375
