,Corresponding NP/Z item,Main clause subject number,Condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target,disambPosition_0idx,surprisal,token,word,word_pos
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,6.569729804992676,further,further,7
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,11.042898178100586,inspection,inspection,8
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,4.625833511352539,by,by,9
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,6.6782732009887695,further,further,7
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,11.227413177490234,inspection,inspection,8
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,4.522174835205078,by,by,9
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,12.878355026245117,mysteriously,mysteriously,7
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,3.372875213623047,from,from,8
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,3.8772659301757812,his,his,9
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,12.649845123291016,mysteriously,mysteriously,7
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,3.4294843673706055,from,from,8
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,3.593625068664551,his,his,9
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,9.371532440185547,increasingly,increasingly,7
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,7.827869892120361,uncomfortable,uncomfortable,8
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,2.818422317504883,in,in,9
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,9.805036544799805,increasingly,increasingly,7
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,8.1100435256958,uncomfortable,uncomfortable,8
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,2.7433366775512695,in,in,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,4.627620220184326,more,more,8
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,4.492117881774902,attention,attention,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,6.499774932861328,due,due,10
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,4.25893497467041,more,more,8
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,4.547663688659668,attention,attention,9
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,6.487903118133545,due,due,10
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,6.8658246994018555,working,working,7
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,8.606752395629883,immediately,immediately,8
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.053860664367676,to,to,9
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,7.284904479980469,working,working,7
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,8.670324325561523,immediately,immediately,8
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.1157777309417725,to,to,9
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,7.434303283691406,several,several,7
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,6.735194206237793,minutes,minutes,8
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,2.1856653690338135,to,to,9
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,7.347463607788086,several,several,7
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,5.884191036224365,minutes,minutes,8
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,2.7542104721069336,to,to,9
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,10.116607666015625,dramatically,dramatically,7
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,8.47457504272461,despite,despite,8
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,1.4727853536605835,the,the,9
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,10.184137344360352,dramatically,dramatically,7
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,8.640891075134277,despite,despite,8
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,1.47561514377594,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,8.363986015319824,essentially,essentially,8
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,2.8218555450439453,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,3.1171984672546387,same,same,10
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,8.337106704711914,essentially,essentially,8
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,2.7352044582366943,the,the,9
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,3.361905097961426,same,same,10
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,12.724486351013184,unnecessarily,unnecessarily,7
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,10.719930648803711,stressful,stressful,8
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.102353572845459,on,on,9
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,12.687504768371582,unnecessarily,unnecessarily,7
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,10.616036415100098,stressful,stressful,8
17,12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.023420333862305,on,on,9
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,6.385125637054443,another,another,7
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,9.3207426071167,border,border,8
18,14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect.",Do the agreements lead to peace?,Yes,No,0,Main clause,7,9.212064743041992,conflict,conflict,9
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,6.105247497558594,another,another,7
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,9.484624862670898,border,border,8
19,14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect.",Does the agreement lead to peace?,Yes,No,0,Main clause,7,9.350468635559082,conflict,conflict,9
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,8.706818580627441,constant,constant,7
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,8.959563255310059,adjustment,adjustment,8
20,15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,3.9589357376098633,from,from,9
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,8.794631958007812,constant,constant,7
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,8.913537979125977,adjustment,adjustment,8
21,15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director.",Does the director move the camera?,Yes,No,1,Ambiguity (correct),7,3.8981540203094482,from,from,9
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,6.8905029296875,relatively,relatively,7
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,10.187973022460938,tranquil,tranquil,8
22,16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day.",Do the cats usually remain calm?,Yes,No,1,Main clause,7,6.056544303894043,throughout,throughout,9
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,6.893865585327148,relatively,relatively,7
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,9.997310638427734,tranquil,tranquil,8
23,16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day.",Does the cat usually remain calm?,Yes,No,1,Main Clause,7,6.307669639587402,throughout,throughout,9
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,11.99894905090332,immense,immense,8
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,9.568169593811035,patience,patience,9
24,17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,3.8192150592803955,from,from,10
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,11.603841781616211,immense,immense,8
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,9.877126693725586,patience,patience,9
25,17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers.",Has the lead architect left?,Yes,No,0,Subordinate clause,8,3.865476369857788,from,from,10
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,10.951827049255371,causing,causing,8
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,6.635641098022461,problems,problems,9
26,19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground.",Do the boys behave themselves after their mother calls?,Yes,No,0,Both,8,2.3409039974212646,with,with,10
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,10.794272422790527,causing,causing,8
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,6.951491355895996,problems,problems,9
27,19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground.",Does the boy behave himself after his mother calls?,Yes,No,0,Both,8,2.3256266117095947,with,with,10
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,5.008696556091309,working,working,7
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,8.14637565612793,independently,independently,8
28,20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions.",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect),7,2.9510176181793213,on,on,9
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,6.266497611999512,working,working,7
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,8.395221710205078,independently,independently,8
29,20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions.",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect),7,3.0332796573638916,on,on,9
30,21,plural,UNAGREE,8,"Once the head surgeon begins, the operations achieves incredible results given the risks involved.",Are the operations successful?,Yes,No,1,Main clause,8,11.122697830200195,incredible,incredible,8
30,21,plural,UNAGREE,8,"Once the head surgeon begins, the operations achieves incredible results given the risks involved.",Are the operations successful?,Yes,No,1,Main clause,8,7.2432861328125,results,results,9
30,21,plural,UNAGREE,8,"Once the head surgeon begins, the operations achieves incredible results given the risks involved.",Are the operations successful?,Yes,No,1,Main clause,8,8.875762939453125,given,given,10
31,21,singular,AGREE,8,"Once the head surgeon begins, the operation achieves incredible results given the risks involved.",Is the operation successful?,Yes,No,1,Main clause,8,10.960537910461426,incredible,incredible,8
31,21,singular,AGREE,8,"Once the head surgeon begins, the operation achieves incredible results given the risks involved.",Is the operation successful?,Yes,No,1,Main clause,8,7.345233917236328,results,results,9
31,21,singular,AGREE,8,"Once the head surgeon begins, the operation achieves incredible results given the risks involved.",Is the operation successful?,Yes,No,1,Main clause,8,8.935792922973633,given,given,10
32,23,plural,UNAGREE,7,"After the producer starts, the auditions separates mediocre actors from talented ones.",Do some actors perform better than others at the audition?,Yes,No,1,Main clause,7,13.619117736816406,mediocre,mediocre,7
