,Corresponding NP/Z item,Main clause subject number,Condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target,disambPosition_0idx,surprisal,token,word,word_pos
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,6.8858819007873535,further,further,7
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,9.303511619567871,inspection,inspection,8
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,4.244434833526611,by,by,9
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,6.4517388343811035,further,further,7
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,9.506857872009277,inspection,inspection,8
1,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,4.217984676361084,by,by,9
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,11.811059951782227,mysteriously,mysteriously,7
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,3.1814165115356445,from,from,8
2,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant\'s hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,3.2565019130706787,his,his,9
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,11.44258975982666,mysteriously,mysteriously,7
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,3.116912841796875,from,from,8
3,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant\'s hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,2.930743932723999,his,his,9
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,9.167413711547852,increasingly,increasingly,7
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,6.728978157043457,uncomfortable,uncomfortable,8
4,5,plural,UNAGREE,7,"Whenever the lawyer leaves, his clients appears increasingly uncomfortable in the courtroom.",Do the clients always look comfortable in the courtroom?,Yes,No,0,Main clause,7,2.878187656402588,in,in,9
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,9.784248352050781,increasingly,increasingly,7
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,7.044519424438477,uncomfortable,uncomfortable,8
5,5,singular,AGREE,7,"Whenever the lawyer leaves, his client appears increasingly uncomfortable in the courtroom.",Does the client always look comfortable in the courtroom?,Yes,No,0,Main clause,7,2.7905187606811523,in,in,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,4.362329006195068,more,more,8
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,4.488732814788818,attention,attention,9
6,6,plural,UNAGREE,8,"After the esteemed reviewer reads, the books gains more attention due to his glowing praise.",Does the esteemed reviewer like the books?,Yes,No,1,Main clause,8,6.812789440155029,due,due,10
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,4.388636589050293,more,more,8
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,3.675112724304199,attention,attention,9
7,6,singular,AGREE,8,"After the esteemed reviewer reads, the book gains more attention due to his glowing praise.",Does the esteemed reviewer like the book?,Yes,No,1,Main clause,8,6.614826202392578,due,due,10
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,7.7156291007995605,working,working,7
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,8.412670135498047,immediately,immediately,8
8,7,plural,UNAGREE,7,"Whenever the nurse calls, the doctors stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.1504459381103516,to,to,9
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,7.7376604080200195,working,working,7
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,8.63976764678955,immediately,immediately,8
9,7,singular,AGREE,7,"Whenever the nurse calls, the doctor stops working immediately to check on the patient.",Does the nurse call the patient?,Yes,No,0,Both,7,3.161255359649658,to,to,9
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,7.080004692077637,several,several,7
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,7.344814300537109,minutes,minutes,8
10,8,plural,UNAGREE,7,"When the lecturer stops, her audiences needs several minutes to reflect on the content.",Does the lecturer stop her audiences?,Yes,No,0,Ambiguity (incorrect),7,1.6151249408721924,to,to,9
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,6.749998569488525,several,several,7
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,6.757715225219727,minutes,minutes,8
11,8,singular,AGREE,7,"When the lecturer stops, her audience needs several minutes to reflect on the content.",Does the lecturer stop her audience?,Yes,No,0,Ambiguity (incorrect),7,1.6097352504730225,to,to,9
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,10.07853889465332,dramatically,dramatically,7
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,7.388533592224121,despite,despite,8
12,9,plural,UNAGREE,7,"When the actress begins, the scenes fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,1.3176161050796509,the,the,9
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,9.781881332397461,dramatically,dramatically,7
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,7.188951015472412,despite,despite,8
13,9,singular,AGREE,7,"When the actress begins, the scene fails dramatically despite the months she spent rehearsing.",Did the actress rehearse extensively?,Yes,No,1,Main clause,7,1.2396748065948486,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,7.860783576965332,essentially,essentially,8
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,2.887113571166992,the,the,9
14,10,plural,UNAGREE,8,"After the worst team loses, the tournaments remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournaments?,Yes,No,0,Both,8,2.805172920227051,same,same,10
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,7.994267463684082,essentially,essentially,8
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,2.599565267562866,the,the,9
15,10,singular,AGREE,8,"After the worst team loses, the tournament remains essentially the same for the rest of the year.",Does the loss of the worst team matter to the tournament?,Yes,No,0,Both,8,3.1227550506591797,same,same,10
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,13.500669479370117,unnecessarily,unnecessarily,7
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,8.849065780639648,stressful,stressful,8
16,12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night.",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both,7,5.634247779846191,on,on,9
