,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,deserved,deserved,5,14.710853576660156,21.22327550229128,14.710853576660156,21.22327550229128
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,further,further,6,6.412744522094727,9.251634720513929,6.412744522094727,9.251634720513929
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,investigation,investigation,7,0.3893442451953888,0.561705011742044,0.3893442451953888,0.561705011742044
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,deserved,deserved,6,16.477436065673828,23.771915298512585,16.477436065673828,23.771915298512585
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,further,further,7,7.326587677001953,10.570031708248909,7.326587677001953,10.570031708248909
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,investigation,investigation,8,0.4012201428413391,0.5788383103819615,0.4012201428413391,0.5788383103819615
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,deserved,deserved,5,14.461333274841309,20.86329380025611,14.461333274841309,20.86329380025611
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,further,further,6,8.406418800354004,12.12789871490647,8.406418800354004,12.12789871490647
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,investigation,investigation,7,0.5564049482345581,0.8027226595440774,0.5564049482345581,0.8027226595440774
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,received,received,6,8.176446914672852,11.796119415890388,8.176446914672852,11.796119415890388
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,unwelcome,unwelcome,7,11.095124244689941,16.006880725861084,11.095124244689941,16.006880725861084
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,attention,attention,8,0.6314210891723633,0.9109480740616764,0.6314210891723633,0.9109480740616764
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,received,received,7,11.526613235473633,16.6293877530629,11.526613235473633,16.6293877530629
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,unwelcome,unwelcome,8,10.189699172973633,14.700628464999433,10.189699172973633,14.700628464999433
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,attention,attention,9,1.8861593008041382,2.7211526695967247,1.8861593008041382,2.7211526695967247
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,received,received,6,12.0699462890625,17.413251655026617,12.0699462890625,17.413251655026617
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,unwelcome,unwelcome,7,10.704591751098633,15.443461434050903,10.704591751098633,15.443461434050903
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,attention,attention,8,1.7454625368118286,2.518170145915895,1.7454625368118286,2.518170145915895
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,disappeared,disappeared,5,9.71530818939209,14.016226945543902,9.71530818939209,14.016226945543902
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,mysteriously,mysteriously,6,8.555545806884766,12.343043507691016,8.555545806884766,12.343043507691016
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,from,from,7,2.174241781234741,3.136767835480948,2.174241781234741,3.136767835480948
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,disappeared,disappeared,6,13.733373641967773,19.81307004794211,13.733373641967773,19.81307004794211
